1,A,1090872,Agilent Technologies Inc.
2,AA,4281,Alcoa Inc.
3,AAPL,320193,Apple Inc.
4,ABBV,1551152,AbbVie Inc.
5,ABC,1140859,AmerisourceBergen Corporation
6,ABT,1800,Abbott Laboratories
7,ACE,896159,ACE Limited
8,ACN,1467373,Accenture plc
9,ACT,1578845,Actavis plc
10,ADBE,796343,Adobe Systems Inc.
11,ADI,6281,"Analog Devices, Inc."
12,ADM,7084,Archer-Daniels-Midland Company
13,ADP,8670,"Automatic Data Processing, Inc."
14,ADS,1101215,Alliance Data Systems Corporation
15,ADSK,769397,"Autodesk, Inc."
16,ADT,1546640,The ADT Corporation
17,AEE,1002910,Ameren Corporation
18,AEP,4904,"American Electric Power Co., Inc."
19,AES,874761,The AES Corporation
20,AET,1122304,Aetna Inc.
21,AFL,4977,AFLAC Inc.
22,AGN,850693,Allergan Inc.
23,AIG,5272,"American International Group, Inc."
24,AIV,922864,Apartment Investment and Management Company
25,AIZ,1267238,Assurant Inc.
26,AKAM,1086222,"Akamai Technologies, Inc."
27,ALL,899051,The Allstate Corporation
28,ALLE,1579241,Allegion plc
29,ALTR,768251,Altera Corp.
30,ALXN,899866,"Alexion Pharmaceuticals, Inc."
31,AMAT,6951,"Applied Materials, Inc."
32,AME,1037868,Ametek Inc.
33,AMG,1004434,Affiliated Managers Group Inc.
34,AMGN,318154,Amgen Inc.
35,AMP,820027,"Ameriprise Financial, Inc."
36,AMT,1053507,American Tower Corporation
37,AMZN,1018724,Amazon.com Inc.
38,AN,350698,AutoNation Inc.
39,AON,315293,Aon plc
40,APA,6769,Apache Corp.
41,APC,773910,Anadarko Petroleum Corporation
42,APD,2969,Air Products & Chemicals Inc.
43,APH,820313,Amphenol Corporation
44,ARG,804212,"Airgas, Inc."
45,ATI,1018963,Allegheny Technologies Inc.
46,AVB,915912,Avalonbay Communities Inc.
47,AVGO,1441634,Avago Technologies Limited
48,AVP,8868,Avon Products Inc.
49,AVY,8818,Avery Dennison Corporation
50,AXP,4962,American Express Company
51,AZO,866787,"AutoZone, Inc."
52,BA,12927,The Boeing Company
53,BAC,70858,Bank of America Corporation
54,BAX,10456,Baxter International Inc.
55,BBBY,886158,Bed Bath & Beyond Inc.
56,BBT,92230,BB&T Corporation
57,BBY,764478,"Best Buy Co., Inc."
58,BCR,9892,CR Bard Inc.
59,BDX,10795,"Becton, Dickinson and Company"
60,BEN,38777,Franklin Resources Inc.
61,BFA,14693,Brown-Forman Corporation
62,BHI,808362,Baker Hughes Incorporated
63,BIIB,875045,Biogen Idec Inc.
64,BK,1390777,The Bank of New York Mellon Corporation
65,BLK,1364742,"BlackRock, Inc."
66,BLL,9389,Ball Corporation
67,BMS,11199,"Bemis Company, Inc."
68,BMY,14272,Bristol-Myers Squibb Company
69,BRCM,1054374,Broadcom Corp.
70,BRKA,1067983,Berkshire Hathaway Inc.
71,BSX,885725,Boston Scientific Corporation
72,BTU,1064728,Peabody Energy Corp.
73,BWA,908255,BorgWarner Inc.
74,BXP,1037540,Boston Properties Inc.
75,C,831001,Citigroup Inc.
76,CA,356028,"CA Technologies, Inc."
77,CAG,23217,"ConAgra Foods, Inc."
78,CAH,721371,"Cardinal Health, Inc."
79,CAM,941548,Cameron International Corporation
80,CAT,18230,Caterpillar Inc.
81,CB,20171,The Chubb Corporation
82,CBG,1138118,"CBRE Group, Inc."
83,CBS,813828,CBS Corporation
84,CCE,1491675,Coca-Cola Enterprises Inc.
85,CCI,1051470,Crown Castle International Corp.
86,CCL,815097,Carnival Corporation
87,CELG,816284,Celgene Corporation
88,CERN,804753,Cerner Corporation
89,CF,1324404,"CF Industries Holdings, Inc."
90,CFN,1457543,CareFusion Corporation
91,CHK,895126,Chesapeake Energy Corporation
92,CHRW,1043277,CH Robinson Worldwide Inc.
93,CI,701221,Cigna Corp.
94,CINF,20286,Cincinnati Financial Corp.
95,CL,21665,Colgate-Palmolive Co.
96,CLX,21076,The Clorox Company
97,CMA,28412,Comerica Incorporated
98,CMCSA,1166691,Comcast Corporation
99,CME,1156375,CME Group Inc.
100,CMG,1058090,"Chipotle Mexican Grill, Inc."
101,CMI,26172,Cummins Inc.
102,CMS,811156,CMS Energy Corp.
103,CNP,1130310,"CenterPoint Energy, Inc."
104,CNX,1070412,CONSOL Energy Inc.
105,COF,927628,Capital One Financial Corporation
106,COG,858470,Cabot Oil & Gas Corporation
107,COH,1116132,"Coach, Inc."
108,COL,1137411,Rockwell Collins Inc.
109,COP,1163165,ConocoPhillips
110,COST,909832,Costco Wholesale Corporation
111,COV,1385187,Covidien plc
112,CPB,16732,Campbell Soup Company
113,CRM,1108524,"Salesforce.com, Inc"
114,CSC,23082,Computer Sciences Corporation
115,CSCO,858877,"Cisco Systems, Inc."
116,CSX,277948,CSX Corp.
117,CTAS,723254,Cintas Corporation
118,CTL,18926,"CenturyLink, Inc."
119,CTSH,1058290,Cognizant Technology Solutions Corporation
120,CTXS,877890,"Citrix Systems, Inc."
121,CVC,1053112,Cablevision Systems Corporation
122,CVS,64803,CVS Health Corporation
